mot,score,type
excellent,0.9,sentiment
excellente,0.9,sentiment
parfait,0.85,sentiment
parfaite,0.85,sentiment
super,0.75,sentiment
génial,0.8,sentiment
géniale,0.8,sentiment
formidable,0.85,sentiment
fantastique,0.85,sentiment
top,0.7,sentiment
bien,0.5,sentiment
bonne,0.55,sentiment
bon,0.55,sentiment
bons,0.55,sentiment
bonnes,0.55,sentiment
beau,0.4,sentiment
belle,0.4,sentiment
agréable,0.6,sentiment
satisfait,0.65,sentiment
satisfaite,0.65,sentiment
satisfaisant,0.6,sentiment
content,0.6,sentiment
contente,0.6,sentiment
heureux,0.7,sentiment
heureuse,0.7,sentiment
épanoui,0.75,sentiment
épanouie,0.75,sentiment
motivé,0.7,sentiment
motivée,0.7,sentiment
motivant,0.65,sentiment
engagé,0.65,sentiment
engagée,0.65,sentiment
valorisé,0.7,sentiment
valorisée,0.7,sentiment
reconnu,0.65,sentiment
reconnue,0.65,sentiment
apprécié,0.65,sentiment
appréciée,0.65,sentiment
soutenu,0.6,sentiment
soutenue,0.6,sentiment
écouté,0.6,sentiment
écoutée,0.6,sentiment
confiance,0.55,sentiment
positif,0.6,sentiment
positive,0.6,sentiment
efficace,0.5,sentiment
productif,0.5,sentiment
productive,0.5,sentiment
fluide,0.4,sentiment
serein,0.55,sentiment
sereine,0.55,sentiment
calme,0.35,sentiment
équilibré,0.5,sentiment
équilibrée,0.5,sentiment
amélioration,0.45,sentiment
améliore,0.45,sentiment
progrès,0.5,sentiment
réussi,0.6,sentiment
réussie,0.6,sentiment
entraide,0.7,sentiment
solidarité,0.7,sentiment
cohésion,0.65,sentiment
soudé,0.65,sentiment
soudée,0.65,sentiment
coopération,0.6,sentiment
collaboration,0.55,sentiment
bienveillant,0.65,sentiment
bienveillante,0.65,sentiment
bienveillance,0.65,sentiment
respect,0.5,sentiment
respectueux,0.5,sentiment
respectueuse,0.5,sentiment
dynamique,0.45,sentiment
stimulant,0.5,sentiment
stimulante,0.5,sentiment
intéressant,0.45,sentiment
intéressante,0.45,sentiment
passionnant,0.6,sentiment
passionnante,0.6,sentiment
chance,0.4,sentiment
opportunité,0.5,sentiment
évolution,0.4,sentiment
formation,0.35,sentiment
apprendre,0.4,sentiment
grandir,0.45,sentiment
transparence,0.45,sentiment
transparent,0.45,sentiment
progresser,0.4,sentiment
avancer,0.35,sentiment
récompensé,0.6,sentiment
félicité,0.65,sentiment
performant,0.5,sentiment
performante,0.5,sentiment
chaleureux,0.55,sentiment
chaleureuse,0.55,sentiment
accueillant,0.5,sentiment
accueillante,0.5,sentiment
convivial,0.55,sentiment
conviviale,0.55,sentiment
mauvais,-0.7,sentiment
mauvaise,-0.7,sentiment
terrible,-0.8,sentiment
horrible,-0.85,sentiment
catastrophique,-0.9,sentiment
désastreux,-0.85,sentiment
inacceptable,-0.8,sentiment
intenable,-0.75,sentiment
insupportable,-0.8,sentiment
débordé,-0.65,sentiment
débordée,-0.65,sentiment
surchargé,-0.7,sentiment
surchargée,-0.7,sentiment
épuisé,-0.8,sentiment
épuisée,-0.8,sentiment
épuisement,-0.8,sentiment
burnout,-0.95,sentiment
craquer,-0.85,sentiment
craques,-0.85,sentiment
craqué,-0.85,sentiment
stress,-0.6,sentiment
stressé,-0.65,sentiment
stressée,-0.65,sentiment
stressant,-0.6,sentiment
stressante,-0.6,sentiment
anxieux,-0.65,sentiment
anxieuse,-0.65,sentiment
anxiété,-0.65,sentiment
peur,-0.5,sentiment
crainte,-0.45,sentiment
frustré,-0.65,sentiment
frustrée,-0.65,sentiment
frustrant,-0.6,sentiment
frustrante,-0.6,sentiment
frustration,-0.65,sentiment
déçu,-0.6,sentiment
déçue,-0.6,sentiment
déception,-0.6,sentiment
démotivé,-0.7,sentiment
démotivée,-0.7,sentiment
démotivant,-0.65,sentiment
découragé,-0.65,sentiment
découragée,-0.65,sentiment
marre,-0.6,sentiment
ras-le-bol,-0.75,sentiment
bout,-0.55,sentiment
difficile,-0.45,sentiment
problème,-0.4,sentiment
problèmes,-0.4,sentiment
souci,-0.35,sentiment
soucis,-0.35,sentiment
inquiet,-0.5,sentiment
inquiète,-0.5,sentiment
inquiétant,-0.5,sentiment
manque,-0.4,sentiment
ignoré,-0.5,sentiment
ignorée,-0.5,sentiment
injuste,-0.6,sentiment
injustice,-0.65,sentiment
inégalité,-0.55,sentiment
trop,-0.3,sentiment
surcharge,-0.65,sentiment
pression,-0.55,sentiment
tension,-0.5,sentiment
conflit,-0.6,sentiment
conflits,-0.6,sentiment
toxique,-0.8,sentiment
médiocre,-0.55,sentiment
nulle,-0.6,sentiment
nul,-0.6,sentiment
isolé,-0.5,sentiment
isolée,-0.5,sentiment
abandonné,-0.6,sentiment
abandonnée,-0.6,sentiment
démoralisé,-0.65,sentiment
démoralisée,-0.65,sentiment
regrette,-0.45,sentiment
démissionner,-0.75,sentiment
fatigué,-0.55,sentiment
fatiguée,-0.55,sentiment
fatigue,-0.55,sentiment
pénible,-0.6,sentiment
lourd,-0.4,sentiment
lourde,-0.4,sentiment
insatisfait,-0.6,sentiment
insatisfaite,-0.6,sentiment
mal,-0.5,sentiment
chaotique,-0.55,sentiment
désorganisé,-0.5,sentiment
souffre,-0.7,sentiment
souffrir,-0.7,sentiment
perdre,-0.35,sentiment
perdu,-0.4,sentiment
perdue,-0.4,sentiment
seul,-0.35,sentiment
seule,-0.35,sentiment
absent,-0.35,sentiment
absente,-0.35,sentiment
très,1.5,intensificateur
vraiment,1.4,intensificateur
tellement,1.5,intensificateur
extrêmement,1.8,intensificateur
complètement,1.6,intensificateur
totalement,1.6,intensificateur
absolument,1.5,intensificateur
énormément,1.7,intensificateur
beaucoup,1.3,intensificateur
particulièrement,1.3,intensificateur
assez,0.8,intensificateur
plutôt,0.7,intensificateur
peu,0.5,intensificateur